,mail,clean_mail,num_characters,num_words,num_sentences,ham_or_spam
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazi avail bugi n great world la e buffet cine got amor wat,111,24,2,0
1,Ok lar... Joking wif u oni...,ok lar joke wif u oni,29,8,2,0
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri question std txt rate c s appli 08452810075over18 s,155,37,2,1
3,U dun say so early hor... U c already then say...,u dun say earli hor u c alreadi say,49,13,1,0
4,"Nah I don't think he goes to usf, he lives around here though",nah nt think goe usf live around though,61,15,1,0
5,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darl s 3 week s word back d like fun still tb ok xxx std chg send rcv,148,39,4,1
6,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aid patent,77,18,2,0
7,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,160,31,2,0
8,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valu network custom select receivea prize reward claim call 09061701461 claim code kl341 valid 12 hour,158,32,5,1
9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,154,31,3,1
10,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",m gon na home soon nt want talk stuff anymor tonight k ve cri enough today,109,28,2,0
11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info,136,31,3,1
12,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent 1 week free membership prize jackpot txt word claim 81010 c wwwdbuknet lccltd pobox 4403ldnw1a7rw18,156,32,3,1
13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ve search right word thank breather promis wont take help grant fulfil promis wonder bless time,196,41,3,0
14,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,35,10,2,0
15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclubcom nqjkgighjjgcbl,149,28,2,1
16,Oh k...i'm watching here:),oh k m watch,26,9,1,0
17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u rememb 2 spell name ye v naughti make v wet,81,22,3,0
18,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine thatåõ way u feel thatåõ way gota b,58,14,2,0
19,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 tri wale scotland 4txtì¼120 poboxox36504w45wq 16,156,28,2,1
20,Is that seriously how you spell his name?,serious spell name,41,9,1,0
21,I‰Û÷m going to try for 2 months ha ha only joking,go tri 2 month ha ha joke,49,11,1,0
22,So Ì_ pay first lar... Then when is da stock comin...,ì pay first lar da stock comin,53,13,1,0
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,88,23,3,0
24,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,57,13,2,0
25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forc eat slice m realli hungri tho suck mark get worri know m sick turn pizza lol,144,35,6,0
26,Lol your always so convincing.,lol alway convinc,30,6,1,0
27,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bu fri egg make tea eat mom s left dinner feel love,134,34,5,0
28,"I'm back &amp; we're packing the car now, I'll let you know if there's room",m back amp re pack car ll let know s room,75,22,1,0
29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vagu rememb feel like lol,64,16,5,0
30,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait s still clear sure sarcast s x nt want live us,130,30,1,0
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo nt go badli cheer,189,48,6,0
32,K tell me anything about you.,k tell anyth,29,7,1,0
33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint housework quick cuppa,84,18,2,0
34,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscript rington uk mobil charg pleas confirm repli ye repli charg,159,30,2,1
35,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look time msg ì xuhui go learn 2nd may lesson 8am,123,30,1,0
36,"Oops, I'll let you know when my roommate's done",oop ll let know roommat s done,47,12,1,0
37,I see the letter B on my car,see letter b car,28,8,1,0
38,Anything lor... U decide...,anyth lor u decid,27,6,1,0
39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello s saturday go text see d decid anyth tomo m tri invit anyth,155,37,4,0
40,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pl go ahead watt want sure great weekend abiola,82,20,4,0
41,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummi,142,35,4,0
42,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,172,34,2,1
43,WHO ARE YOU SEEING?,see,19,5,1,0
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endow lt gt inch,72,22,3,0
45,No calls..messages..missed calls,call messag miss call,32,7,1,0
46,Didn't you get hep b immunisation in nigeria.,nt get hep b immunis nigeria,45,10,1,0
47,"Fair enough, anything going on?",fair enough anyth go,31,7,1,0
48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hope tyler ca nt could mayb ask around bit,67,16,1,0
49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u nt know stubborn nt even want go hospit kept tell mark m weak sucker hospit weak sucker,148,37,4,0
50,What you thinked about me. First time you saw me in class.,think first time saw class,58,14,2,0
51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,124,35,1,0
52,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride earli tomorrow morn s crash place tonight,80,17,1,0
53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow never realiz embarass accomod thought like sinc best could alway seem happi the cave m sorri nt nt give m sorri offer m sorri room embarass,291,69,6,0
54,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,120,27,5,1
55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lt url gt,76,20,2,0
56,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss,161,37,7,1
57,"Sorry, I'll call later in meeting.",sorri ll call later meet,34,9,1,0
58,Tell where you reached,tell reach,22,4,1,0
59,Yes..gauti and sehwag out of odi series.,ye gauti sehwag odi seri,40,10,1,0
60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gon na pick 1 burger way home ca nt even move pain kill,108,29,3,0
61,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situat seeker,48,11,2,0
62,Its a part of checking IQ,part check iq,25,6,1,0
63,"Sorry my roommates took forever, it ok if I come by now?",sorri roommat took forev ok come,56,14,1,0
64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,110,26,2,0
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",valu custom pleas advis follow recent review mob award bonu prize call 09066364589,153,31,2,1
66,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedic day song u dedic send ur valuabl frnd first rpli,124,29,2,0
67,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 186 morefrmmob shracomorsglsuplt 10 ls1 3aj,161,34,3,1
68,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorc barbi come ken s stuff,80,20,2,1
69,I plane to give on this month end.,plane give month end,34,9,1,0
70,Wah lucky man... Then can save money... Hee...,wah lucki man save money hee,46,11,1,0
71,Finished class where are you.,finish class,29,6,1,0
72,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wan na someth xx,45,12,2,0
73,K..k:)where are you?how did you performed?,k k perform,42,14,1,0
74,U can call me now...,u call,20,6,1,0
75,I am waiting machan. Call me once you free.,wait machan call free,43,11,2,0
76,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool gentleman treat digniti respect,73,16,2,0
77,I like you peoples very much:) but am very shy pa.,like peopl much shi pa,50,14,1,0
78,Does not operate after  &lt;#&gt;  or what,oper lt gt,42,13,1,0
79,Its not the same here. Still looking for a job. How much do Ta's earn there.,still look job much ta s earn,76,20,3,0
80,"Sorry, I'll call later",sorri ll call later,22,6,1,0
81,K. Did you call me just now ah? ,k call ah,32,9,1,0
