clean_mail,num_characters,num_sentences,target
go jurong point crazi avail bugi n great world la e buffet cine got amor wat,111,2,0
ok lar joke wif u oni,29,2,0
free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri question std txt rate c s appli 08452810075over18 s,155,2,1
u dun say earli hor u c alreadi say,49,1,0
nah nt think goe usf live around though,61,1,0
freemsg hey darl s 3 week s word back d like fun still tb ok xxx std chg send rcv,148,4,1
even brother like speak treat like aid patent,77,2,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,160,2,0
winner valu network custom select receivea prize reward claim call 09061701461 claim code kl341 valid 12 hour,158,5,1
mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,154,3,1
m gon na home soon nt want talk stuff anymor tonight k ve cri enough today,109,2,0
six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info,136,3,1
urgent 1 week free membership prize jackpot txt word claim 81010 c wwwdbuknet lccltd pobox 4403ldnw1a7rw18,156,3,1
ve search right word thank breather promis wont take help grant fulfil promis wonder bless time,196,3,0
date sunday,35,2,0
xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclubcom nqjkgighjjgcbl,149,2,1
oh k m watch,26,1,0
eh u rememb 2 spell name ye v naughti make v wet,81,3,0
fine thatåõ way u feel thatåõ way gota b,58,2,0
england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 tri wale scotland 4txtì¼120 poboxox36504w45wq 16,156,2,1
serious spell name,41,1,0
go tri 2 month ha ha joke,49,1,0
ì pay first lar da stock comin,53,1,0
aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,88,3,0
ffffffffff alright way meet sooner,57,2,0
forc eat slice m realli hungri tho suck mark get worri know m sick turn pizza lol,144,6,0
lol alway convinc,30,1,0
catch bu fri egg make tea eat mom s left dinner feel love,134,5,0
m back amp re pack car ll let know s room,75,1,0
ahhh work vagu rememb feel like lol,64,5,0
wait s still clear sure sarcast s x nt want live us,130,1,0
yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo nt go badli cheer,189,6,0
k tell anyth,29,1,0
fear faint housework quick cuppa,84,2,0
thank subscript rington uk mobil charg pleas confirm repli ye repli charg,159,2,1
yup ok go home look time msg ì xuhui go learn 2nd may lesson 8am,123,1,0
oop ll let know roommat s done,47,1,0
see letter b car,28,1,0
anyth lor u decid,27,1,0
hello s saturday go text see d decid anyth tomo m tri invit anyth,155,4,0
pl go ahead watt want sure great weekend abiola,82,4,0
forget tell want need crave love sweet arabian steed mmmmmm yummi,142,4,0
07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,172,2,1
see,19,1,0
great hope like man well endow lt gt inch,72,3,0
call messag miss call,32,1,0
nt get hep b immunis nigeria,45,1,0
fair enough anyth go,31,1,0
yeah hope tyler ca nt could mayb ask around bit,67,1,0
u nt know stubborn nt even want go hospit kept tell mark m weak sucker hospit weak sucker,148,4,0
think first time saw class,58,2,0
gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,124,1,0
k fyi x ride earli tomorrow morn s crash place tonight,80,1,0
wow never realiz embarass accomod thought like sinc best could alway seem happi the cave m sorri nt nt give m sorri offer m sorri room embarass,291,6,0
sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,120,5,1
know mallika sherawat yesterday find lt url gt,76,2,0
congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss,161,7,1
sorri ll call later meet,34,1,0
tell reach,22,1,0
ye gauti sehwag odi seri,40,1,0
gon na pick 1 burger way home ca nt even move pain kill,108,3,0
ha ha ha good joke girl situat seeker,48,2,0
part check iq,25,1,0
sorri roommat took forev ok come,56,1,0
ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,110,2,0
valu custom pleas advis follow recent review mob award bonu prize call 09066364589,153,2,1
today song dedic day song u dedic send ur valuabl frnd first rpli,124,2,0
urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 186 morefrmmob shracomorsglsuplt 10 ls1 3aj,161,3,1
hear new divorc barbi come ken s stuff,80,2,1
plane give month end,34,1,0
wah lucki man save money hee,46,1,0
finish class,29,1,0
hi babe im home wan na someth xx,45,2,0
k k perform,42,1,0
u call,20,1,0
wait machan call free,43,2,0
that cool gentleman treat digniti respect,73,2,0
like peopl much shi pa,50,1,0
oper lt gt,42,1,0
still look job much ta s earn,76,3,0
sorri ll call later,22,1,0
k call ah,32,1,0
ok way home hi hi,32,1,0
place man,36,1,0
yup next stop,14,1,0
call later nt network urgnt sm,55,2,0
real u get yo need 2 ticket one jacket m done alreadi use multi,121,3,0
ye start send request make pain came back m back bed doubl coin factori got ta cash nitro,144,3,0
m realli still tonight babe,42,1,0
ela kano il download come wen ur free,41,1,0
yeah stand close tho catch someth,62,2,0
sorri pain ok meet anoth night spent late afternoon casualti mean nt done stuff42moro includ time sheet sorri,195,4,0
smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,141,2,0
pleas call custom servic repres 0800 169 6031 10am9pm guarante cash prize,139,1,1
havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi,107,3,0
free rington wait collect simpli text password mix 85069 verifi get usher britney fml,125,4,1
watch telugu movi wat abt u,33,1,0
see finish load loan pay,51,2,0
hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u x000dham,190,5,0
pleas nt text anymor noth els say,57,2,0
okay name ur price long legal wen pick u ave x am xx,81,3,0
m still look car buy gone 4the drive test yet,76,2,0
wow re right nt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,183,5,0
umma life vava umma love lot dear,44,1,0
thank lot wish birthday thank make birthday truli memor,95,2,0
aight ll hit get cash,43,1,0
would ip address test consid comput nt minecraft server,82,1,0
know grumpi old peopl mom like better lie alway one play joke,115,4,0
dont worri guess s busi,30,2,0
plural noun research,40,1,0
go dinnermsg,31,1,0
m ok wif co like 2 tri new thing scare u dun like mah co u said loud,96,3,0
gent tri contact last weekend draw show prize guarante call 09064012160 claim code k52 valid 12hr 150ppm,159,7,1
wa ur openin sentenc formal anyway m fine juz tt m eatin much n puttin weight haha anythin special happen,143,3,0
enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went,156,6,0
winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18,153,1,1
goodo ye must speak friday eggpotato ratio tortilla need,72,2,0
hmm uncl inform s pay school directli pl buy food,86,2,0
privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,144,3,1
urgent mobil award bonu caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm,157,4,1
new address appl pair malarki,53,1,0
today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,156,2,1
go sao mu today done 12,52,2,0
ìï predict wat time ì ll finish buy,40,1,0
good stuff,20,1,0
